team,elo,elo_rank,confederation,is_host,matches_total,wins,losses,draws,goals_for,goals_against,elo_momentum,matches_in_data
Spain,2165,1,UEFA,0,780,461,138,181,1591,697,-9.0,293
Argentina,2113,2,CONMEBOL,0,1109,610,228,271,2112,1136,-22.1,299
France,2081,3,UEFA,0,938,474,269,195,1706,1272,40.5,292
England,2020,4,UEFA,0,1160,683,215,262,2719,1118,7.6,271
Brazil,1984,5,CONMEBOL,0,1065,670,172,223,2294,954,-20.8,304
Portugal,1984,5,UEFA,0,694,346,189,159,1222,779,-13.2,284
Colombia,1975,7,CONMEBOL,0,648,265,205,178,842,741,25.4,267
Netherlands,1961,8,UEFA,0,901,465,239,197,1892,1142,-17.4,277
Ecuador,1933,9,CONMEBOL,0,598,183,254,161,719,903,33.6,260
Croatia,1930,10,UEFA,0,398,209,83,106,694,401,-3.7,263
Germany,1923,11,UEFA,0,1045,604,224,217,2352,1232,6.9,299
Norway,1912,12,UEFA,0,886,334,355,197,1373,1443,41.2,231
Japan,1904,13,AFC,0,835,408,257,170,1517,985,27.5,336
Turkey,1902,14,UEFA,0,669,263,250,156,947,969,68.9,256
Uruguay,1892,15,CONMEBOL,0,1019,446,321,252,1610,1254,22.6,268
Switzerland,1889,16,UEFA,0,895,319,373,203,1335,1482,33.6,250
Senegal,1878,17,CAF,0,704,319,192,193,967,669,9.5,249
Belgium,1867,19,UEFA,0,876,390,302,184,1599,1359,21.7,244
Mexico,1860,20,CONCACAF,1,1028,533,258,237,1823,1055,11.4,397
Paraguay,1833,22,CONMEBOL,0,788,276,303,209,1002,1115,7.0,251
Austria,1827,23,UEFA,0,865,370,310,185,1560,1321,6.9,223
Morocco,1822,24,CAF,0,728,364,165,199,1103,614,47.8,254
Canada,1784,25,CONCACAF,1,488,189,185,114,626,623,16.3,216
Australia,1783,26,AFC,0,635,326,179,130,1289,714,-4.6,256
Scotland,1767,29,UEFA,0,867,411,268,188,1495,1075,38.1,206
Iran,1760,31,AFC,0,668,382,132,154,1270,524,-44.7,285
South Korea,1752,33,AFC,0,1050,571,221,258,1907,964,-9.8,322
Algeria,1743,35,CAF,0,688,309,196,183,1052,703,37.0,249
Panama,1737,36,CONCACAF,0,591,196,251,144,736,906,-4.6,318
Uzbekistan,1727,38,AFC,0,365,180,110,75,635,398,7.2,249
Czech Republic,1726,40,UEFA,0,882,424,261,197,1624,1097,-2.4,248
United States,1721,41,CONCACAF,1,825,366,286,173,1246,1073,28.9,355
Sweden,1719,43,UEFA,0,1118,549,335,234,2226,1482,-35.9,283
Jordan,1690,50,AFC,0,582,206,218,158,727,710,45.1,322
Egypt,1689,51,CAF,0,883,446,216,221,1544,921,58.2,286
Côte d'Ivoire,1676,52,CAF,0,692,348,166,178,1130,695,0.0,0
DR Congo,1655,54,CAF,0,547,226,171,150,835,641,57.8,223
Tunisia,1636,58,CAF,0,775,330,229,216,1105,839,-20.6,285
Iraq,1607,63,AFC,0,759,359,189,211,1202,707,15.4,325
Bosnia and Herzegovina,1594,66,UEFA,0,279,104,111,64,393,385,39.5,210
New Zealand,1585,68,OFC,0,439,181,179,79,767,645,-48.5,145
Saudi Arabia,1568,71,AFC,0,835,396,245,194,1281,892,-27.6,341
Cape Verde,1549,72,CAF,0,251,94,97,60,267,278,33.0,162
Haiti,1532,77,CONCACAF,0,561,246,197,118,957,759,50.9,211
South Africa,1524,79,CAF,0,524,231,141,152,719,542,-8.3,304
Ghana,1503,82,CAF,0,778,370,213,195,1247,822,28.7,260
Curacao,1436,90,CONCACAF,0,498,201,173,124,879,767,28.1,143
Qatar,1425,95,AFC,0,697,289,232,176,993,825,-49.7,342
