team,player,position,age,caps,goals,club,intl_xg_per_shot,weighted_shots,club_npxg_per90,market_value_m,club_form_estimated,intl_xg_norm,club_form_norm,experience_norm,value_norm,composite_score
Argentina,Lionel Messi,Forward,38,198,116,Inter Miami CF,0.1025,38.7,1.041,35.0,False,0.41,0.694,1.0,0.6757,0.6368
Morocco,Achraf Hakimi,Defender,27,95,11,Paris Saint-Germain,0.0,8.2,0.18,80.0,False,0.0,0.12,0.6333,0.8286,0.6223
Belgium,Thibaut Courtois,Goalkeeper,34,109,0,Real Madrid,0.0,0.0,0.002,28.0,True,0.0,0.0013,0.7267,0.6349,0.6037
England,Harry Kane,Forward,32,113,79,Bayern Munich,0.1224,28.4,0.676,65.0,False,0.4896,0.4507,0.7533,0.79,0.5776
Germany,Joshua Kimmich,Defender,31,110,10,Bayern Munich,0.0,13.1,0.069,40.0,False,0.0,0.046,0.7333,0.7002,0.577
Belgium,Romelu Lukaku,Forward,33,126,90,Napoli,0.1977,20.1,0.317,15.0,False,0.7908,0.2113,0.84,0.5228,0.5707
France,Kylian Mbappé,Forward,27,97,56,Real Madrid,0.0925,46.5,0.718,180.0,False,0.37,0.4787,0.6467,0.9802,0.5662
Brazil,Neymar,Forward,34,128,79,Santos,0.1413,18.5,0.4239,50.0,True,0.5652,0.2826,0.8533,0.7414,0.5589
Brazil,Marquinhos,Defender,32,104,7,Paris Saint-Germain,0.0,0.0,0.134,30.0,False,0.0,0.0893,0.6933,0.6475,0.5451
Portugal,Rúben Dias,Defender,29,75,3,Manchester City,0.0,0.0,0.053,60.0,False,0.0,0.0353,0.5,0.7752,0.5429
Germany,Kai Havertz,Forward,27,58,22,Arsenal,0.1473,20.5,0.566,55.0,False,0.5892,0.3773,0.3867,0.759,0.5292
Austria,David Alaba,Defender,33,113,15,Real Madrid,0.0,0.0,0.0735,20.0,True,0.0,0.049,0.7533,0.5741,0.5204
Germany,Jamal Musiala,Midfielder,23,42,9,Bayern Munich,0.0965,17.7,0.546,130.0,False,0.386,0.364,0.28,0.9193,0.5182
Portugal,Nuno Mendes,Defender,23,43,1,Paris Saint-Germain,0.0,3.0,0.094,75.0,False,0.0,0.0627,0.2867,0.8166,0.5037
Argentina,Cristian Romero,Defender,28,49,3,Tottenham Hotspur,0.0,0.0,0.12,60.0,False,0.0,0.08,0.3267,0.7752,0.4976
Canada,Alphonso Davies,Defender,25,58,15,Bayern Munich,0.0,8.1,0.108,50.0,False,0.0,0.072,0.3867,0.7414,0.4975
France,William Saliba,Defender,25,31,0,Arsenal,0.0,2.0,0.095,90.0,False,0.0,0.0633,0.2067,0.8506,0.4968
Mexico,Edson Álvarez,Defender,28,98,7,Fenerbahçe,0.0,0.0,0.016,22.0,False,0.0,0.0107,0.6533,0.5912,0.4932
Spain,Unai Simón,Goalkeeper,29,57,0,Athletic Bilbao,0.0,0.0,0.002,30.0,True,0.0,0.0013,0.38,0.6475,0.4893
DR Congo,Yoane Wissa,Forward,29,37,9,Newcastle United,0.1408,19.0,0.634,28.0,False,0.5632,0.4227,0.2467,0.6349,0.4879
Ecuador,Piero Hincapié,Defender,24,51,3,Arsenal,0.0,0.0,0.119,50.0,False,0.0,0.0793,0.34,0.7414,0.4846
France,Dayot Upamecano,Defender,27,37,2,Bayern Munich,0.0,0.0,0.0735,70.0,True,0.0,0.049,0.2467,0.8038,0.4833
Portugal,Diogo Costa,Goalkeeper,26,42,0,Porto,0.0,0.0,0.002,40.0,True,0.0,0.0013,0.28,0.7002,0.4832
England,Jordan Pickford,Goalkeeper,32,83,0,Everton,0.0,0.0,0.002,15.0,True,0.0,0.0013,0.5533,0.5228,0.4813
Brazil,Alisson,Goalkeeper,33,77,0,Liverpool,0.0,0.0,0.002,17.0,True,0.0,0.0013,0.5133,0.545,0.4795
Germany,Antonio Rüdiger,Defender,33,82,3,Real Madrid,0.0,8.2,0.071,25.0,False,0.0,0.0473,0.5467,0.6144,0.4783
Netherlands,Denzel Dumfries,Defender,30,71,11,Inter Milan,0.0,5.4,0.286,25.0,False,0.0,0.1907,0.4733,0.6144,0.4778
Ecuador,Willian Pacho,Defender,24,34,2,Paris Saint-Germain,0.0,0.0,0.0735,70.0,True,0.0,0.049,0.2267,0.8038,0.4773
France,Mike Maignan,Goalkeeper,30,39,0,Milan,0.0,0.0,0.002,38.0,True,0.0,0.0013,0.26,0.6908,0.4711
Netherlands,Virgil van Dijk,Defender,34,91,12,Liverpool,0.0,7.1,0.076,18.0,False,0.0,0.0507,0.6067,0.5552,0.4672
England,John Stones,Defender,32,88,3,Manchester City,0.0,6.2,0.111,18.0,False,0.0,0.074,0.5867,0.5552,0.4647
France,Jules Koundé,Defender,27,47,0,Barcelona,0.0,3.8,0.095,45.0,False,0.0,0.0633,0.3133,0.7219,0.4644
Switzerland,Manuel Akanji,Defender,30,81,4,Inter Milan,0.0,0.0,0.045,22.0,False,0.0,0.03,0.54,0.5912,0.4621
Germany,Manuel Neuer,Goalkeeper,40,124,0,Bayern Munich,0.0,0.0,0.002,4.0,True,0.0,0.0013,0.8267,0.3035,0.4564
Netherlands,Jurriën Timber,Defender,24,24,0,Arsenal,0.0,0.0,0.048,70.0,False,0.0,0.032,0.16,0.8038,0.4547
Senegal,Kalidou Koulibaly,Defender,34,102,2,Al-Hilal,0.0,3.7,0.0735,12.0,True,0.0,0.049,0.68,0.4837,0.4532
