player_id,player_name,team,total_shots,total_xg,total_goals,competitions_appeared,xg_per_shot_overall
2941,Ismaïla Sarr,Senegal,19,2.333,1,3,0.123
2948,Nabil Fekir,France,4,0.06,0,1,0.015
2954,Youri Tielemans,Belgium,8,0.273,1,2,0.034
2956,Bertrand Isidore Traoré,Burkina Faso,8,0.182,0,1,0.023
2972,Marcus Thuram,France,13,1.294,0,2,0.1
2974,Saîf-Eddine Khaoui,Tunisia,2,0.034,0,1,0.017
2988,Memphis Depay,Netherlands,28,3.133,2,2,0.112
2989,Alexander Djiku,Ghana,1,0.097,1,1,0.097
2995,Ángel Fabián Di María Hernández,Argentina,17,1.514,2,3,0.089
3009,Kylian Mbappé Lottin,France,60,6.165,10,3,0.103
3013,Nicolas Pépé,Côte d'Ivoire,4,0.28,0,1,0.07
3017,Ibrahim Sangaré,Côte d'Ivoire,5,0.256,0,1,0.051
3026,Adrien Rabiot,France,12,0.99,1,2,0.082
3027,Mathias Jørgensen Jatta,Denmark,1,0.126,1,1,0.126
3034,Kamil Glik,Poland,4,0.213,0,2,0.053
3042,Mikel Merino Zazón,Spain,3,0.326,1,1,0.109
3043,Christian Dannemann Eriksen,Denmark,27,1.857,2,3,0.069
3044,Chancel Mbemba Mangulu,Congo DR,5,0.741,1,1,0.148
3053,Leroy Sané,Germany,10,0.466,0,2,0.047
3054,Fernando Luiz Roza,Brazil,3,0.114,0,1,0.038
3058,Javier Hernández Balcázar,Mexico,6,0.541,1,1,0.09
3063,Danilo Luiz da Silva,Brazil,3,0.109,0,2,0.036
3064,David Josué Jiménez Silva,Spain,10,1.091,0,1,0.109
3076,Ayoze Pérez Gutiérrez,Spain,3,0.324,0,1,0.108
3077,Jan Vertonghen,Belgium,5,0.247,1,3,0.049
3083,Heung-Min Son,South Korea,23,2.025,2,2,0.088
3086,Ben Davies,Wales,3,0.384,0,1,0.128
3089,Kevin De Bruyne,Belgium,30,1.607,2,3,0.054
3090,Nicolás Hernán Otamendi,Argentina,9,1.396,0,3,0.155
3094,Bamidele Alli,England,6,0.513,1,1,0.086
3097,Pascal Groß,Germany,1,0.031,0,1,0.031
3101,Vincent Kompany,Belgium,6,0.64,0,1,0.107
3130,Gaël Kakuta,Congo DR,8,0.34,0,1,0.042
3141,André-Frank Zambo Anguissa,Cameroon,2,0.248,0,2,0.124
3145,Keita Baldé Diao,Senegal,1,0.033,0,1,0.033
3167,Antonio Rüdiger,Germany,10,0.823,0,2,0.082
3176,Thomas Meunier,Belgium,9,0.581,1,2,0.065
3186,Julian Draxler,Germany,6,0.526,0,1,0.088
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,10,1.02,1,3,0.102
3196,Wahbi Khazri,Tunisia,17,1.764,3,2,0.104
3202,Gabriel Fernando de Jesus,Brazil,12,1.793,0,2,0.149
3233,Raheem Sterling,England,12,1.522,1,2,0.127
3237,Sergio Leonel Agüero del Castillo,Argentina,6,0.669,2,1,0.112
3244,John Stones,England,11,2.014,2,3,0.183
3245,Thomas Lemar,France,1,0.027,0,1,0.027
3248,Hamari Traoré,Mali,3,0.921,1,1,0.307
3250,Edson André Sitoe,Mozambique,1,0.006,0,1,0.006
3255,Guessouma Fofana,Mauritania,1,0.239,0,1,0.239
3264,Vincent Janssen,Netherlands,2,0.156,0,1,0.078
3265,José Luis Sanmartín Mato,Spain,3,0.143,0,1,0.048
3280,Richarlison de Andrade,Brazil,8,1.618,3,1,0.202
3281,Aaron Mooy,Australia,4,0.093,0,2,0.023
3289,Romelu Lukaku Menama,Belgium,30,6.045,4,3,0.201
3293,Jesse Lingard,England,16,1.232,1,1,0.077
3295,Thiago Emiliano da Silva,Brazil,8,0.983,1,2,0.123
