player_id,player_name,team,competition,shots,xg,goals,xg_per_shot,penalty_goals,non_penalty_goals
2941,Ismaïla Sarr,Senegal,AFCON 2023,7,1.018,1,0.145,0,1
2941,Ismaïla Sarr,Senegal,World Cup 2018,3,0.249,0,0.083,0,0
2941,Ismaïla Sarr,Senegal,World Cup 2022,9,1.065,0,0.118,1,-1
2948,Nabil Fekir,France,World Cup 2018,4,0.06,0,0.015,0,0
2954,Youri Tielemans,Belgium,Euro 2024,4,0.153,1,0.038,0,1
2954,Youri Tielemans,Belgium,World Cup 2018,4,0.119,0,0.03,0,0
2956,Bertrand Isidore Traoré,Burkina Faso,AFCON 2023,8,0.182,0,0.023,3,-3
2972,Marcus Thuram,France,Euro 2024,12,1.179,0,0.098,0,0
2972,Marcus Thuram,France,World Cup 2022,1,0.116,0,0.116,0,0
2974,Saîf-Eddine Khaoui,Tunisia,World Cup 2018,2,0.034,0,0.017,0,0
2988,Memphis Depay,Netherlands,Euro 2024,18,1.951,1,0.108,0,1
2988,Memphis Depay,Netherlands,World Cup 2022,10,1.182,1,0.118,0,1
2989,Alexander Djiku,Ghana,AFCON 2023,1,0.097,1,0.097,0,1
2995,Ángel Fabián Di María Hernández,Argentina,Copa America 2024,6,0.549,0,0.091,0,0
2995,Ángel Fabián Di María Hernández,Argentina,World Cup 2018,4,0.431,1,0.108,0,1
2995,Ángel Fabián Di María Hernández,Argentina,World Cup 2022,7,0.534,1,0.076,0,1
3009,Kylian Mbappé Lottin,France,Euro 2024,23,1.723,0,0.075,1,-1
3009,Kylian Mbappé Lottin,France,World Cup 2018,8,1.775,4,0.222,0,4
3009,Kylian Mbappé Lottin,France,World Cup 2022,29,2.666,6,0.092,3,3
3013,Nicolas Pépé,Côte d'Ivoire,AFCON 2023,4,0.28,0,0.07,1,-1
3017,Ibrahim Sangaré,Côte d'Ivoire,AFCON 2023,5,0.256,0,0.051,0,0
3026,Adrien Rabiot,France,Euro 2024,3,0.262,0,0.087,0,0
3026,Adrien Rabiot,France,World Cup 2022,9,0.728,1,0.081,0,1
3027,Mathias Jørgensen Jatta,Denmark,World Cup 2018,1,0.126,1,0.126,0,1
3034,Kamil Glik,Poland,World Cup 2018,1,0.063,0,0.063,0,0
3034,Kamil Glik,Poland,World Cup 2022,3,0.151,0,0.05,0,0
3042,Mikel Merino Zazón,Spain,Euro 2024,3,0.326,1,0.109,0,1
3043,Christian Dannemann Eriksen,Denmark,Euro 2024,12,0.835,1,0.07,0,1
3043,Christian Dannemann Eriksen,Denmark,World Cup 2018,11,0.868,1,0.079,0,1
3043,Christian Dannemann Eriksen,Denmark,World Cup 2022,4,0.154,0,0.039,0,0
3044,Chancel Mbemba Mangulu,Congo DR,AFCON 2023,5,0.741,1,0.148,1,0
3053,Leroy Sané,Germany,Euro 2024,7,0.282,0,0.04,0,0
3053,Leroy Sané,Germany,World Cup 2022,3,0.183,0,0.061,0,0
3054,Fernando Luiz Roza,Brazil,World Cup 2018,3,0.114,0,0.038,0,0
3058,Javier Hernández Balcázar,Mexico,World Cup 2018,6,0.541,1,0.09,0,1
3063,Danilo Luiz da Silva,Brazil,Copa America 2024,1,0.077,0,0.077,0,0
3063,Danilo Luiz da Silva,Brazil,World Cup 2022,2,0.032,0,0.016,0,0
3064,David Josué Jiménez Silva,Spain,World Cup 2018,10,1.091,0,0.109,0,0
3076,Ayoze Pérez Gutiérrez,Spain,Euro 2024,3,0.324,0,0.108,0,0
3077,Jan Vertonghen,Belgium,Euro 2024,1,0.105,0,0.105,0,0
3077,Jan Vertonghen,Belgium,World Cup 2018,2,0.035,1,0.017,0,1
3077,Jan Vertonghen,Belgium,World Cup 2022,2,0.108,0,0.054,0,0
3083,Heung-Min Son,South Korea,World Cup 2018,14,1.572,2,0.112,0,2
3083,Heung-Min Son,South Korea,World Cup 2022,9,0.454,0,0.05,0,0
3086,Ben Davies,Wales,World Cup 2022,3,0.384,0,0.128,0,0
3089,Kevin De Bruyne,Belgium,Euro 2024,11,0.878,1,0.08,0,1
3089,Kevin De Bruyne,Belgium,World Cup 2018,12,0.552,1,0.046,0,1
3089,Kevin De Bruyne,Belgium,World Cup 2022,7,0.178,0,0.025,0,0
3090,Nicolás Hernán Otamendi,Argentina,Copa America 2024,2,0.724,0,0.362,1,-1
3090,Nicolás Hernán Otamendi,Argentina,World Cup 2018,6,0.624,0,0.104,0,0
3090,Nicolás Hernán Otamendi,Argentina,World Cup 2022,1,0.048,0,0.048,0,0
3094,Bamidele Alli,England,World Cup 2018,6,0.513,1,0.086,0,1
3097,Pascal Groß,Germany,Euro 2024,1,0.031,0,0.031,0,0
3101,Vincent Kompany,Belgium,World Cup 2018,6,0.64,0,0.107,0,0
3130,Gaël Kakuta,Congo DR,AFCON 2023,8,0.34,0,0.043,0,0
3141,André-Frank Zambo Anguissa,Cameroon,AFCON 2023,1,0.202,0,0.202,0,0
3141,André-Frank Zambo Anguissa,Cameroon,World Cup 2022,1,0.046,0,0.046,0,0
3145,Keita Baldé Diao,Senegal,World Cup 2018,1,0.033,0,0.033,0,0
3167,Antonio Rüdiger,Germany,Euro 2024,4,0.163,0,0.041,0,0
3167,Antonio Rüdiger,Germany,World Cup 2022,6,0.66,0,0.11,0,0
3176,Thomas Meunier,Belgium,World Cup 2018,6,0.462,1,0.077,0,1
3176,Thomas Meunier,Belgium,World Cup 2022,3,0.119,0,0.04,0,0
3186,Julian Draxler,Germany,World Cup 2018,6,0.526,0,0.088,0,0
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Euro 2024,7,0.745,1,0.106,2,-1
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,World Cup 2018,2,0.166,0,0.083,0,0
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,World Cup 2022,1,0.109,0,0.109,0,0
3196,Wahbi Khazri,Tunisia,World Cup 2018,12,1.466,2,0.122,0,2
3196,Wahbi Khazri,Tunisia,World Cup 2022,5,0.298,1,0.06,0,1
3202,Gabriel Fernando de Jesus,Brazil,World Cup 2018,10,1.469,0,0.147,0,0
3202,Gabriel Fernando de Jesus,Brazil,World Cup 2022,2,0.324,0,0.162,0,0
3233,Raheem Sterling,England,World Cup 2018,11,1.333,0,0.121,0,0
