national_team_name,squad_size,total_squad_value_m,avg_player_value_m,avg_caps
Republic of Ireland,28,78.45,4.13,16.29
Portugal,2,40.0,40.0,30.5
Serbia,5,38.9,9.72,35.2
Northern Ireland,32,38.6,1.84,22.0
Wales,20,34.7,2.89,21.05
Denmark,4,34.0,8.5,19.75
Jamaica,56,33.05,2.54,15.38
Morocco,45,20.3,2.54,11.71
Nigeria,39,18.8,2.35,11.69
Japan,10,18.65,4.66,6.1
Senegal,18,17.5,4.38,6.22
Peru,61,16.95,1.41,21.08
Australia,14,15.4,2.2,13.93
Scotland,9,15.05,1.88,14.78
Bosnia-Herzegovina,11,14.55,1.82,30.09
Georgia,23,13.95,1.55,23.48
Chile,35,12.15,1.74,16.77
Qatar,51,11.83,1.48,42.53
Iran,13,11.0,1.83,18.69
Cyprus,27,10.2,0.93,28.07
Uzbekistan,40,9.95,0.9,27.18
United States,6,9.7,3.23,9.83
Poland,3,8.8,4.4,32.67
New Zealand,11,8.6,1.72,23.0
Romania,8,8.42,2.1,26.75
Egypt,40,8.4,2.8,18.65
Iceland,9,7.9,1.13,48.22
Sweden,7,7.7,1.92,8.71
Slovakia,9,7.1,1.78,33.22
Comoros,47,6.92,0.41,14.6
Indonesia,24,6.7,0.67,18.83
Canada,3,6.65,2.22,2.67
Venezuela,26,6.37,0.71,17.54
Israel,29,6.2,1.24,10.28
South Korea,12,5.5,1.38,10.25
Costa Rica,37,5.27,0.59,20.27
Switzerland,2,5.2,2.6,8.0
Bangladesh,38,5.0,5.0,19.08
Azerbaijan,39,4.95,0.71,19.69
Algeria,27,4.5,0.75,5.85
Uruguay,10,4.5,4.5,1.2
Belarus,30,4.3,0.43,16.53
Luxembourg,26,4.05,0.45,31.12
Albania,8,4.0,1.0,16.62
Armenia,31,3.7,0.62,20.16
Moldova,21,3.53,0.5,20.19
South Africa,64,3.5,1.17,10.6
Iraq,40,3.5,0.58,26.88
Dominican Republic,36,3.37,0.42,13.42
China,44,3.27,0.47,12.93
Malta,34,3.15,1.05,26.15
Colombia,1,3.0,3.0,4.0
Greece,1,3.0,3.0,10.0
Croatia,2,3.0,1.5,14.0
Tunisia,8,2.9,1.45,22.0
Hungary,18,2.5,2.5,15.83
Kosovo,7,2.25,1.12,11.86
Lithuania,38,2.23,0.32,17.95
Thailand,54,2.0,0.4,20.83
Bulgaria,8,1.8,0.9,7.88
Estonia,25,1.75,0.29,29.44
Uganda,49,1.75,0.44,16.61
Tajikistan,40,1.6,0.53,23.28
Guatemala,21,1.5,0.75,27.33
Ghana,4,1.45,0.48,5.5
Malaysia,24,1.42,0.71,20.42
Montenegro,8,1.35,0.68,20.25
Faroe Islands,31,1.32,0.19,29.19
Norway,3,1.3,1.3,3.33
Philippines,31,1.3,0.32,15.94
Finland,5,1.25,0.42,27.4
Latvia,25,1.17,0.39,21.2
Honduras,37,1.1,0.37,17.84
Mexico,1,1.0,1.0,152.0
Andorra,36,0.8,0.8,38.25
North Macedonia,2,0.75,0.75,35.5
Bolivia,44,0.65,0.65,14.89
Kyrgyzstan,39,0.5,0.5,17.41
El Salvador,41,0.25,0.12,22.98
Jordan,39,0.25,0.25,21.9
United Arab Emirates,24,0.2,0.2,19.25
Hong Kong,36,0.0,,21.56
Gibraltar,30,0.0,,21.3
Ethiopia,40,0.0,,14.6
Fiji,3,0.0,,4.33
Chinese Taipei,36,0.0,,13.75
Cambodia,24,0.0,,15.25
Ecuador,2,0.0,,20.5
Austria,2,0.0,,0.5
Panama,31,0.0,,22.32
Oman,49,0.0,,26.9
Nicaragua,5,0.0,,18.8
Myanmar,32,0.0,,19.58
Laos,28,0.0,,6.79
Kazakhstan,12,0.0,,6.25
Lebanon,19,0.0,,17.05
Libya,27,0.0,,11.15
India,20,0.0,,20.05
Slovenia,1,0.0,,24.0
San Marino,15,0.0,,19.8
Puerto Rico,29,0.0,,14.52
Paraguay,1,0.0,,29.0
Singapore,36,0.0,,30.11
Ukraine,1,0.0,,8.0
Vietnam,45,0.0,,13.49
