player_id,valuation_date,market_value_m
836132,2026-02-27,0.01
1133978,2026-02-13,0.25
439343,2026-02-11,1.2
1175508,2026-01-29,0.05
922783,2026-01-24,0.02
625142,2026-01-23,1.2
1107726,2026-01-22,0.5
1085591,2026-01-22,0.4
951298,2026-01-19,0.02
1009440,2026-01-18,1.0
1191473,2026-01-15,0.2
1004479,2026-01-15,0.15
345343,2026-01-13,0.4
137669,2026-01-13,0.18
155054,2026-01-13,0.22
190687,2026-01-13,0.38
258912,2026-01-13,0.35
1075719,2026-01-13,0.4
1118086,2026-01-13,0.5
470618,2026-01-13,0.75
1062472,2026-01-05,0.05
511119,2026-01-05,0.1
1043641,2026-01-05,0.05
1035767,2026-01-05,0.02
1000768,2026-01-05,0.05
988249,2026-01-05,0.15
606126,2026-01-05,0.02
352721,2026-01-05,0.12
454331,2026-01-05,0.02
312374,2026-01-05,0.18
299839,2026-01-05,0.1
291760,2026-01-05,0.15
131790,2026-01-05,0.05
1047550,2026-01-05,0.02
251079,2026-01-05,0.3
1069932,2026-01-05,0.05
1173760,2026-01-05,0.08
1070799,2026-01-05,0.02
1303292,2026-01-05,0.02
1181950,2026-01-05,0.01
1175607,2026-01-05,0.1
1175588,2026-01-05,0.1
1256115,2026-01-05,0.1
1173278,2026-01-05,0.02
1136897,2026-01-05,0.01
1122485,2026-01-05,0.02
1119072,2026-01-05,0.1
1072260,2026-01-05,0.12
1071218,2026-01-05,0.08
566965,2025-12-30,0.4
610238,2025-12-30,0.6
610163,2025-12-30,0.05
608382,2025-12-30,0.2
603940,2025-12-30,1.2
587520,2025-12-30,2.5
585700,2025-12-30,3.0
581781,2025-12-30,1.2
581640,2025-12-30,0.2
569866,2025-12-30,1.0
534376,2025-12-30,0.7
566574,2025-12-30,1.0
557147,2025-12-30,1.5
546213,2025-12-30,12.0
543390,2025-12-30,0.1
537373,2025-12-30,0.2
535959,2025-12-30,2.5
614988,2025-12-30,0.5
522719,2025-12-30,0.5
511021,2025-12-30,1.5
505673,2025-12-30,0.3
481084,2025-12-30,0.8
611075,2025-12-30,0.8
634430,2025-12-30,0.15
618805,2025-12-30,0.02
658269,2025-12-30,1.5
471474,2025-12-30,0.8
702662,2025-12-30,0.15
674501,2025-12-30,0.8
671649,2025-12-30,4.5
668313,2025-12-30,0.5
668276,2025-12-30,1.0
668212,2025-12-30,0.3
668210,2025-12-30,0.02
668177,2025-12-30,0.7
653415,2025-12-30,1.5
620892,2025-12-30,0.25
646738,2025-12-30,2.0
646735,2025-12-30,0.25
636686,2025-12-30,0.2
636096,2025-12-30,0.3
634460,2025-12-30,0.25
634117,2025-12-30,0.15
632913,2025-12-30,0.05
630995,2025-12-30,3.0
625655,2025-12-30,0.9
480883,2025-12-30,2.0
282041,2025-12-30,4.0
470495,2025-12-30,0.35
435605,2025-12-30,0.5
268167,2025-12-30,0.8
266359,2025-12-30,5.0
262389,2025-12-30,0.4
256120,2025-12-30,0.2
251892,2025-12-30,1.0
248551,2025-12-30,0.15
246204,2025-12-30,0.2
243760,2025-12-30,1.0
238868,2025-12-30,0.6
236997,2025-12-30,2.7
198015,2025-12-30,0.6
197126,2025-12-30,0.5
182875,2025-12-30,3.2
177964,2025-12-30,0.65
164771,2025-12-30,3.5
162038,2025-12-30,0.5
162036,2025-12-30,0.15
147078,2025-12-30,0.15
129592,2025-12-30,5.5
95641,2025-12-30,0.4
74230,2025-12-30,4.0
276030,2025-12-30,0.25
709971,2025-12-30,0.3
288318,2025-12-30,1.0
352392,2025-12-30,2.0
434990,2025-12-30,2.0
434602,2025-12-30,0.6
422466,2025-12-30,2.0
412041,2025-12-30,0.5
403315,2025-12-30,13.0
388125,2025-12-30,1.2
364603,2025-12-30,0.9
364237,2025-12-30,0.8
361238,2025-12-30,0.2
348623,2025-12-30,3.0
327126,2025-12-30,0.8
342702,2025-12-30,4.0
342346,2025-12-30,0.3
339707,2025-12-30,4.5
337066,2025-12-30,0.4
336731,2025-12-30,0.4
331498,2025-12-30,0.5
331496,2025-12-30,1.0
329722,2025-12-30,2.0
327757,2025-12-30,7.5
707359,2025-12-30,0.3
623521,2025-12-30,2.0
710004,2025-12-30,1.5
1075574,2025-12-30,0.2
1065441,2025-12-30,0.15
1064391,2025-12-30,0.2
1063990,2025-12-30,0.15
1063574,2025-12-30,0.5
1062525,2025-12-30,0.2
1061665,2025-12-30,0.2
1061660,2025-12-30,0.3
1061260,2025-12-30,0.15
1060454,2025-12-30,1.0
1055860,2025-12-30,0.3
1054429,2025-12-30,0.3
1050120,2025-12-30,3.0
1025582,2025-12-30,0.05
1016253,2025-12-30,0.5
1003166,2025-12-30,0.1
1000630,2025-12-30,0.3
1000136,2025-12-30,0.1
997827,2025-12-30,3.5
986300,2025-12-30,0.2
982848,2025-12-30,0.2
982007,2025-12-30,0.2
1065442,2025-12-30,0.5
1108203,2025-12-30,2.0
973690,2025-12-30,0.15
1123335,2025-12-30,0.2
1411351,2025-12-30,0.02
710484,2025-12-30,0.2
1367276,2025-12-30,0.5
1365799,2025-12-30,0.02
1338984,2025-12-30,0.02
1337084,2025-12-30,0.05
1305792,2025-12-30,1.0
1305564,2025-12-30,0.3
1298885,2025-12-30,0.05
1271065,2025-12-30,0.1
1255616,2025-12-30,0.2
1225038,2025-12-30,0.1
1216529,2025-12-30,0.05
1210422,2025-12-30,0.2
1201530,2025-12-30,0.8
1179293,2025-12-30,0.02
1158985,2025-12-30,0.2
1146039,2025-12-30,0.05
1135452,2025-12-30,0.02
1134878,2025-12-30,0.02
1129175,2025-12-30,0.02
976129,2025-12-30,0.28
1384902,2025-12-30,0.02
964190,2025-12-30,0.3
816679,2025-12-30,0.1
890817,2025-12-30,0.2
866541,2025-12-30,0.05
859218,2025-12-30,1.5
857830,2025-12-30,0.6
852727,2025-12-30,1.5
845872,2025-12-30,5.0
842479,2025-12-30,0.75
834463,2025-12-30,0.5
833884,2025-12-30,0.05
767255,2025-12-30,0.1
895331,2025-12-30,0.3
767229,2025-12-30,0.3
743028,2025-12-30,0.28
741251,2025-12-30,0.2
721660,2025-12-30,0.5
718581,2025-12-30,0.15
718195,2025-12-30,0.2
715683,2025-12-30,0.8
711380,2025-12-30,0.6
962145,2025-12-30,0.8
891923,2025-12-30,1.0
711367,2025-12-30,0.1
895333,2025-12-30,0.15
937945,2025-12-30,0.4
895458,2025-12-30,1.0
952943,2025-12-30,0.7
949489,2025-12-30,0.2
949116,2025-12-30,0.2
948254,2025-12-30,0.1
948047,2025-12-30,0.2
946269,2025-12-30,0.15
945500,2025-12-30,0.6
941080,2025-12-30,0.3
945767,2025-12-30,0.05
935342,2025-12-30,0.3
929864,2025-12-30,0.02
961948,2025-12-30,0.8
935300,2025-12-30,0.02
923915,2025-12-30,0.5
926763,2025-12-30,4.0
916014,2025-12-30,0.2
929878,2025-12-30,0.7
932349,2025-12-30,0.05
935281,2025-12-30,3.0
381913,2025-12-29,0.12
440163,2025-12-29,0.3
428996,2025-12-29,0.4
406973,2025-12-29,1.5
393217,2025-12-29,0.28
391376,2025-12-29,1.2
391332,2025-12-29,0.65
386164,2025-12-29,0.38
382423,2025-12-29,0.18
322655,2025-12-29,3.0
381260,2025-12-29,0.1
372713,2025-12-29,2.0
366143,2025-12-29,4.5
354666,2025-12-29,3.2
345105,2025-12-29,1.2
342172,2025-12-29,0.3
341646,2025-12-29,0.2
334213,2025-12-29,0.7
331514,2025-12-29,0.65
458715,2025-12-29,2.8
313504,2025-12-29,0.25
458588,2025-12-29,0.7
522954,2025-12-29,0.3
465868,2025-12-29,0.3
554300,2025-12-29,2.0
575367,2025-12-29,4.0
289404,2025-12-29,0.35
573981,2025-12-29,0.6
567495,2025-12-29,0.3
567492,2025-12-29,0.25
567479,2025-12-29,0.2
566572,2025-12-29,0.12
558727,2025-12-29,0.5
554402,2025-12-29,0.25
540059,2025-12-29,0.35
470422,2025-12-29,0.45
532574,2025-12-29,0.65
525472,2025-12-29,0.5
520405,2025-12-29,1.0
501709,2025-12-29,1.8
500972,2025-12-29,1.0
491966,2025-12-29,0.25
484987,2025-12-29,0.3
481689,2025-12-29,0.12
477924,2025-12-29,0.25
295755,2025-12-29,0.1
191391,2025-12-29,0.3
286392,2025-12-29,0.18
105653,2025-12-29,0.3
177031,2025-12-29,0.2
176354,2025-12-29,0.1
156676,2025-12-29,0.2
153190,2025-12-29,0.8
117432,2025-12-29,0.6
115333,2025-12-29,0.5
112091,2025-12-29,0.12
110686,2025-12-29,0.1
105817,2025-12-29,0.2
95604,2025-12-29,0.3
182323,2025-12-29,0.3
87854,2025-12-29,0.22
79110,2025-12-29,0.05
68033,2025-12-29,0.8
55605,2025-12-29,0.08
52403,2025-12-29,0.05
40687,2025-12-29,0.05
39333,2025-12-29,0.05
33862,2025-12-29,0.08
582513,2025-12-29,0.25
179548,2025-12-29,0.18
182877,2025-12-29,6.0
