player_name,club,league,season,games_played,minutes_played,goals,xg,assists,xa,shots,key_passes,yellow_cards,red_cards,non_penalty_goals,npxg,xg_per90,xa_per90,npxg_per90
Wladimiro Falcone,Lecce,serie_a,2024,38,3420,0,0.0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0
Mile Svilar,Roma,serie_a,2024,38,3420,0,0.0802524909377098,0,0.0,1,0,1,0,0,0.0802524909377098,0.002,0.0,0.002
David Soria,Getafe,la_liga,2024,38,3420,0,0.0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0
Evan Ndicka,Roma,serie_a,2024,38,3420,0,1.0002613915130496,1,1.0897020567208529,18,8,2,0,0,1.0002613915130496,0.026,0.029,0.026
Jordan Pickford,Everton,epl,2024,38,3420,0,0.0,1,0.2801412306725979,0,2,7,0,0,0.0,0.0,0.007,0.0
Bernd Leno,Fulham,epl,2024,38,3420,0,0.0,1,0.31894351541996,0,2,5,0,0,0.0,0.0,0.008,0.0
Nathan Collins,Brentford,epl,2024,38,3420,2,2.6544005731120706,3,1.9733586199581623,17,9,5,0,2,2.6544005731120706,0.07,0.052,0.07
David Raya,Arsenal,epl,2024,38,3420,0,0.0,0,0.0936360284686088,0,1,3,0,0,0.0,0.0,0.002,0.0
Federico Baschirotto,Lecce,serie_a,2024,38,3420,2,1.786151384934783,0,0.4555621715262532,22,6,3,0,2,1.786151384934783,0.047,0.012,0.047
Dean Henderson,Crystal Palace,epl,2024,38,3420,0,0.0109276687726378,0,0.1058704666793346,1,2,3,0,0,0.0109276687726378,0.0,0.003,0.0
Joan García,Espanyol,la_liga,2024,38,3420,0,0.0722400173544883,0,0.0,1,0,2,0,0,0.0722400173544883,0.002,0.0,0.002
Matz Sels,Nottingham Forest,epl,2024,38,3420,0,0.0,0,0.5219662692397833,0,2,4,0,0,0.0,0.0,0.014,0.0
Bryan Mbeumo,Brentford,epl,2024,38,3419,20,13.63216146454215,7,10.376488702371716,86,70,3,0,15,9.06514835730195,0.359,0.273,0.239
Amir Rrahmani,Napoli,serie_a,2024,38,3410,1,2.2584940614178777,3,1.5486852955073118,28,11,2,0,1,2.2584940614178777,0.06,0.041,0.06
Mohamed Salah,Liverpool,epl,2024,38,3392,29,27.70626749098301,18,15.858334187418222,130,89,1,0,20,20.855747912079096,0.735,0.421,0.553
Moisés Caicedo,Chelsea,epl,2024,38,3381,1,0.6911019859835505,2,2.924944289028645,20,29,11,0,1,0.6911019859835505,0.018,0.078,0.018
Milos Kerkez,Bournemouth,epl,2024,38,3359,2,0.7433816641569138,5,4.914374724030495,19,35,4,0,2,0.7433816641569138,0.02,0.132,0.02
Max Kilman,West Ham,epl,2024,38,3348,0,1.714818298816681,1,0.9288761988282204,13,16,5,0,0,1.714818298816681,0.046,0.025,0.046
Virgil van Dijk,Liverpool,epl,2024,37,3330,3,2.821447281166911,1,1.2135552121326327,26,12,5,0,3,2.821447281166911,0.076,0.033,0.076
Giovanni Di Lorenzo,Napoli,serie_a,2024,37,3330,3,3.556538237258792,2,4.060254374518991,21,37,6,0,3,3.556538237258792,0.096,0.11,0.096
Dan Burn,Newcastle United,epl,2024,37,3330,1,2.574376904405653,1,1.1636743620038033,21,9,11,0,1,2.574376904405653,0.07,0.031,0.07
Vanja Milinkovic-Savic,Torino,serie_a,2024,37,3330,0,0.0,0,0.1168199703097343,0,3,3,0,0,0.0,0.0,0.003,0.0
