round,date,time,team1,team2,group,stage,venue,score1,score2
Matchday 1,2026-06-11,13:00 UTC-6,Mexico,South Africa,Group A,group,Mexico City,,
Matchday 1,2026-06-11,20:00 UTC-6,South Korea,Czech Republic,Group A,group,Guadalajara (Zapopan),,
Matchday 2,2026-06-12,15:00 UTC-4,Canada,Bosnia and Herzegovina,Group B,group,Toronto,,
Matchday 2,2026-06-12,18:00 UTC-7,United States,Paraguay,Group D,group,Los Angeles (Inglewood),,
Matchday 3,2026-06-13,12:00 UTC-7,Qatar,Switzerland,Group B,group,San Francisco Bay Area (Santa Clara),,
Matchday 3,2026-06-13,21:00 UTC-7,Australia,Turkey,Group D,group,Vancouver,,
Matchday 3,2026-06-13,18:00 UTC-4,Brazil,Morocco,Group C,group,New York/New Jersey (East Rutherford),,
Matchday 3,2026-06-13,21:00 UTC-4,Haiti,Scotland,Group C,group,Boston (Foxborough),,
Matchday 4,2026-06-14,20:00 UTC-6,Sweden,Tunisia,Group F,group,Monterrey (Guadalupe),,
Matchday 4,2026-06-14,15:00 UTC-5,Netherlands,Japan,Group F,group,Dallas (Arlington),,
Matchday 4,2026-06-14,19:00 UTC-4,Côte d'Ivoire,Ecuador,Group E,group,Philadelphia,,
Matchday 4,2026-06-14,12:00 UTC-5,Germany,Curaçao,Group E,group,Houston,,
Matchday 5,2026-06-15,18:00 UTC-7,Iran,New Zealand,Group G,group,Los Angeles (Inglewood),,
Matchday 5,2026-06-15,12:00 UTC-7,Belgium,Egypt,Group G,group,Seattle,,
Matchday 5,2026-06-15,18:00 UTC-4,Saudi Arabia,Uruguay,Group H,group,Miami (Miami Gardens),,
Matchday 5,2026-06-15,12:00 UTC-4,Spain,Cape Verde,Group H,group,Atlanta,,
Matchday 6,2026-06-16,18:00 UTC-4,Iraq,Norway,Group I,group,Boston (Foxborough),,
Matchday 6,2026-06-16,15:00 UTC-4,France,Senegal,Group I,group,New York/New Jersey (East Rutherford),,
Matchday 6,2026-06-16,21:00 UTC-7,Austria,Jordan,Group J,group,San Francisco Bay Area (Santa Clara),,
Matchday 6,2026-06-16,20:00 UTC-5,Argentina,Algeria,Group J,group,Kansas City,,
Matchday 7,2026-06-17,12:00 UTC-5,Portugal,DR Congo,Group K,group,Houston,,
Matchday 7,2026-06-17,20:00 UTC-6,Uzbekistan,Colombia,Group K,group,Mexico City,,
Matchday 7,2026-06-17,19:00 UTC-4,Ghana,Panama,Group L,group,Toronto,,
Matchday 7,2026-06-17,15:00 UTC-5,England,Croatia,Group L,group,Dallas (Arlington),,
Matchday 8,2026-06-18,12:00 UTC-4,Czech Republic,South Africa,Group A,group,Atlanta,,
Matchday 8,2026-06-18,19:00 UTC-6,Mexico,South Korea,Group A,group,Guadalajara (Zapopan),,
Matchday 8,2026-06-18,15:00 UTC-7,Canada,Qatar,Group B,group,Vancouver,,
Matchday 8,2026-06-18,12:00 UTC-7,Switzerland,Bosnia and Herzegovina,Group B,group,Los Angeles (Inglewood),,
Matchday 9,2026-06-19,20:30 UTC-4,Brazil,Haiti,Group C,group,Philadelphia,,
Matchday 9,2026-06-19,20:00 UTC-7,Turkey,Paraguay,Group D,group,San Francisco Bay Area (Santa Clara),,
Matchday 9,2026-06-19,12:00 UTC-7,United States,Australia,Group D,group,Seattle,,
Matchday 9,2026-06-19,18:00 UTC-4,Scotland,Morocco,Group C,group,Boston (Foxborough),,
Matchday 10,2026-06-20,19:00 UTC-5,Ecuador,Curaçao,Group E,group,Kansas City,,
Matchday 10,2026-06-20,16:00 UTC-4,Germany,Côte d'Ivoire,Group E,group,Toronto,,
Matchday 10,2026-06-20,12:00 UTC-5,Netherlands,Sweden,Group F,group,Houston,,
Matchday 10,2026-06-20,22:00 UTC-6,Tunisia,Japan,Group F,group,Monterrey (Guadalupe),,
Matchday 11,2026-06-21,18:00 UTC-4,Uruguay,Cape Verde,Group H,group,Miami (Miami Gardens),,
Matchday 11,2026-06-21,12:00 UTC-7,Belgium,Iran,Group G,group,Los Angeles (Inglewood),,
Matchday 11,2026-06-21,18:00 UTC-7,New Zealand,Egypt,Group G,group,Vancouver,,
Matchday 11,2026-06-21,12:00 UTC-4,Spain,Saudi Arabia,Group H,group,Atlanta,,
Matchday 12,2026-06-22,12:00 UTC-5,Argentina,Austria,Group J,group,Dallas (Arlington),,
Matchday 12,2026-06-22,17:00 UTC-4,France,Iraq,Group I,group,Philadelphia,,
Matchday 12,2026-06-22,20:00 UTC-7,Jordan,Algeria,Group J,group,San Francisco Bay Area (Santa Clara),,
Matchday 12,2026-06-22,20:00 UTC-4,Norway,Senegal,Group I,group,New York/New Jersey (East Rutherford),,
Matchday 13,2026-06-23,12:00 UTC-5,Portugal,Uzbekistan,Group K,group,Houston,,
Matchday 13,2026-06-23,19:00 UTC-4,Panama,Croatia,Group L,group,Toronto,,
Matchday 13,2026-06-23,16:00 UTC-4,England,Ghana,Group L,group,Boston (Foxborough),,
Matchday 13,2026-06-23,20:00 UTC-6,Colombia,DR Congo,Group K,group,Guadalajara (Zapopan),,
Matchday 14,2026-06-24,19:00 UTC-6,South Africa,South Korea,Group A,group,Monterrey (Guadalupe),,
Matchday 14,2026-06-24,18:00 UTC-4,Scotland,Brazil,Group C,group,Miami (Miami Gardens),,
Matchday 14,2026-06-24,18:00 UTC-4,Morocco,Haiti,Group C,group,Atlanta,,
Matchday 14,2026-06-24,12:00 UTC-7,Switzerland,Canada,Group B,group,Vancouver,,
Matchday 14,2026-06-24,12:00 UTC-7,Bosnia and Herzegovina,Qatar,Group B,group,Seattle,,
Matchday 14,2026-06-24,19:00 UTC-6,Czech Republic,Mexico,Group A,group,Mexico City,,
Matchday 15,2026-06-25,16:00 UTC-4,Curaçao,Côte d'Ivoire,Group E,group,Philadelphia,,
Matchday 15,2026-06-25,19:00 UTC-7,Paraguay,Australia,Group D,group,San Francisco Bay Area (Santa Clara),,
Matchday 15,2026-06-25,19:00 UTC-7,Turkey,United States,Group D,group,Los Angeles (Inglewood),,
Matchday 15,2026-06-25,16:00 UTC-4,Ecuador,Germany,Group E,group,New York/New Jersey (East Rutherford),,
Matchday 15,2026-06-25,18:00 UTC-5,Japan,Sweden,Group F,group,Dallas (Arlington),,
Matchday 15,2026-06-25,18:00 UTC-5,Tunisia,Netherlands,Group F,group,Kansas City,,
Matchday 16,2026-06-26,20:00 UTC-7,Egypt,Iran,Group G,group,Seattle,,
Matchday 16,2026-06-26,20:00 UTC-7,New Zealand,Belgium,Group G,group,Vancouver,,
Matchday 16,2026-06-26,15:00 UTC-4,Senegal,Iraq,Group I,group,Toronto,,
Matchday 16,2026-06-26,15:00 UTC-4,Norway,France,Group I,group,Boston (Foxborough),,
Matchday 16,2026-06-26,18:00 UTC-6,Uruguay,Spain,Group H,group,Guadalajara (Zapopan),,
Matchday 16,2026-06-26,19:00 UTC-5,Cape Verde,Saudi Arabia,Group H,group,Houston,,
Matchday 17,2026-06-27,19:30 UTC-4,Colombia,Portugal,Group K,group,Miami (Miami Gardens),,
Matchday 17,2026-06-27,19:30 UTC-4,DR Congo,Uzbekistan,Group K,group,Atlanta,,
Matchday 17,2026-06-27,17:00 UTC-4,Panama,England,Group L,group,New York/New Jersey (East Rutherford),,
Matchday 17,2026-06-27,17:00 UTC-4,Croatia,Ghana,Group L,group,Philadelphia,,
Matchday 17,2026-06-27,21:00 UTC-5,Jordan,Argentina,Group J,group,Dallas (Arlington),,
Matchday 17,2026-06-27,21:00 UTC-5,Algeria,Austria,Group J,group,Kansas City,,
Round of 32,2026-06-28,12:00 UTC-7,2A,2B,,round_of_32,Los Angeles (Inglewood),,
Round of 32,2026-06-29,12:00 UTC-5,1C,2F,,round_of_32,Houston,,
Round of 32,2026-06-29,16:30 UTC-4,1E,3A/B/C/D/F,,round_of_32,Boston (Foxborough),,
Round of 32,2026-06-29,19:00 UTC-6,1F,2C,,round_of_32,Monterrey (Guadalupe),,
Round of 32,2026-06-30,17:00 UTC-4,1I,3C/D/F/G/H,,round_of_32,New York/New Jersey (East Rutherford),,
Round of 32,2026-06-30,12:00 UTC-5,2E,2I,,round_of_32,Dallas (Arlington),,
Round of 32,2026-06-30,19:00 UTC-6,1A,3C/E/F/H/I,,round_of_32,Mexico City,,
Round of 32,2026-07-01,12:00 UTC-4,1L,3E/H/I/J/K,,round_of_32,Atlanta,,
Round of 32,2026-07-01,17:00 UTC-7,1D,3B/E/F/I/J,,round_of_32,San Francisco Bay Area (Santa Clara),,
Round of 32,2026-07-01,13:00 UTC-7,1G,3A/E/H/I/J,,round_of_32,Seattle,,
Round of 32,2026-07-02,19:00 UTC-4,2K,2L,,round_of_32,Toronto,,
Round of 32,2026-07-02,12:00 UTC-7,1H,2J,,round_of_32,Los Angeles (Inglewood),,
Round of 32,2026-07-02,20:00 UTC-7,1B,3E/F/G/I/J,,round_of_32,Vancouver,,
Round of 32,2026-07-03,18:00 UTC-4,1J,2H,,round_of_32,Miami (Miami Gardens),,
Round of 32,2026-07-03,20:30 UTC-5,1K,3D/E/I/J/L,,round_of_32,Kansas City,,
Round of 32,2026-07-03,13:00 UTC-5,2D,2G,,round_of_32,Dallas (Arlington),,
Round of 16,2026-07-04,12:00 UTC-5,W73,W75,,round_of_16,Houston,,
Round of 16,2026-07-04,17:00 UTC-4,W74,W77,,round_of_16,Philadelphia,,
Round of 16,2026-07-05,16:00 UTC-4,W76,W78,,round_of_16,New York/New Jersey (East Rutherford),,
Round of 16,2026-07-05,18:00 UTC-6,W79,W80,,round_of_16,Mexico City,,
Round of 16,2026-07-06,14:00 UTC-5,W83,W84,,round_of_16,Dallas (Arlington),,
Round of 16,2026-07-06,17:00 UTC-7,W81,W82,,round_of_16,Seattle,,
Round of 16,2026-07-07,12:00 UTC-4,W86,W88,,round_of_16,Atlanta,,
Round of 16,2026-07-07,13:00 UTC-7,W85,W87,,round_of_16,Vancouver,,
Quarter-final,2026-07-09,16:00 UTC-4,W89,W90,,quarterfinal,Boston (Foxborough),,
Quarter-final,2026-07-10,12:00 UTC-7,W93,W94,,quarterfinal,Los Angeles (Inglewood),,
Quarter-final,2026-07-11,17:00 UTC-4,W91,W92,,quarterfinal,Miami (Miami Gardens),,
