team,group
Czech Republic,Group A
Mexico,Group A
South Africa,Group A
South Korea,Group A
Bosnia and Herzegovina,Group B
Canada,Group B
Qatar,Group B
Switzerland,Group B
Brazil,Group C
Haiti,Group C
Morocco,Group C
Scotland,Group C
Australia,Group D
Paraguay,Group D
Turkey,Group D
United States,Group D
Curaçao,Group E
Côte d'Ivoire,Group E
Ecuador,Group E
Germany,Group E
Japan,Group F
Netherlands,Group F
Sweden,Group F
Tunisia,Group F
Belgium,Group G
Egypt,Group G
Iran,Group G
New Zealand,Group G
Cape Verde,Group H
Saudi Arabia,Group H
Spain,Group H
Uruguay,Group H
France,Group I
Iraq,Group I
Norway,Group I
Senegal,Group I
Algeria,Group J
Argentina,Group J
Austria,Group J
Jordan,Group J
Colombia,Group K
DR Congo,Group K
Portugal,Group K
Uzbekistan,Group K
Croatia,Group L
England,Group L
Ghana,Group L
Panama,Group L
