team,player_name,position,age,caps,goals,club
Czech Republic,Matěj Kovář,Goalkeeper,26,20,0,PSV Eindhoven
Czech Republic,David Zima,Defender,25,25,1,Slavia Prague
Czech Republic,Tomáš Holeš,Defender,33,41,2,Slavia Prague
Czech Republic,Robin Hranáč,Defender,26,14,1,TSG Hoffenheim
Czech Republic,Vladimír Coufal,Defender,33,62,2,TSG Hoffenheim
Czech Republic,Štěpán Chaloupek,Defender,23,5,0,Slavia Prague
Czech Republic,Ladislav Krejčí,Defender,27,27,5,Wolverhampton Wanderers
Czech Republic,Vladimír Darida,Midfielder,35,79,8,Hradec Králové
Czech Republic,Adam Hložek,Forward,23,43,5,TSG Hoffenheim
Czech Republic,Patrik Schick,Forward,30,53,26,Bayer Leverkusen
Czech Republic,Jan Kuchta,Forward,29,31,3,Sparta Prague
Czech Republic,Lukáš Červ,Midfielder,25,17,2,Viktoria Plzeň
Czech Republic,Mojmír Chytil,Forward,27,22,6,Slavia Prague
Czech Republic,David Jurásek,Defender,25,18,1,Slavia Prague
Czech Republic,Pavel Šulc,Forward,25,21,5,Lyon
Czech Republic,Jindřich Staněk,Goalkeeper,30,14,0,Slavia Prague
Czech Republic,Lukáš Provod,Midfielder,29,38,3,Slavia Prague
Czech Republic,Michal Sadílek,Midfielder,27,35,1,Slavia Prague
Czech Republic,Tomáš Chorý,Forward,31,22,7,Slavia Prague
Czech Republic,Jaroslav Zelený,Defender,33,23,0,Sparta Prague
Czech Republic,David Douděra,Defender,28,17,2,Slavia Prague
Czech Republic,Tomáš Souček,Midfielder,31,90,17,West Ham United
Czech Republic,Lukáš Horníček,Goalkeeper,23,1,0,Braga
Czech Republic,Alexandr Sojka,Midfielder,23,2,0,Viktoria Plzeň
Czech Republic,Hugo Sochůrek,Midfielder,18,1,0,Sparta Prague
Czech Republic,Denis Višinský,Forward,23,2,1,Viktoria Plzeň
Mexico,Raúl Rangel,Goalkeeper,26,14,0,Guadalajara
Mexico,Jorge Sánchez,Defender,28,59,3,PAOK
Mexico,César Montes,Defender,29,67,4,Lokomotiv Moscow
Mexico,Edson Álvarez,Defender,28,98,7,Fenerbahçe
Mexico,Johan Vásquez,Defender,27,46,3,Genoa
Mexico,Érik Lira,Midfielder,26,25,0,Cruz Azul
Mexico,Luis Romo,Midfielder,31,63,4,Guadalajara
Mexico,Álvaro Fidalgo,Midfielder,29,4,0,Real Betis
Mexico,Raúl Jiménez,Forward,35,124,45,Fulham
Mexico,Alexis Vega,Forward,28,52,7,Toluca
Mexico,Santiago Giménez,Forward,25,47,6,Milan
Mexico,Carlos Acevedo,Goalkeeper,30,7,0,Santos Laguna
Mexico,Guillermo Ochoa,Goalkeeper,40,152,0,AEL Limassol
Mexico,Armando González,Forward,23,7,1,Guadalajara
Mexico,Israel Reyes,Defender,26,34,2,América
Mexico,Julián Quiñones,Forward,29,22,2,Al-Qadsiah
Mexico,Orbelín Pineda,Midfielder,30,92,12,AEK Athens
Mexico,Obed Vargas,Midfielder,20,6,0,Atlético Madrid
Mexico,Gilberto Mora,Midfielder,17,8,0,Tijuana
Mexico,Mateo Chávez,Defender,22,10,0,AZ
Mexico,César Huerta,Forward,25,26,3,Anderlecht
Mexico,Guillermo Martínez,Forward,31,12,3,Pumas
Mexico,Jesús Gallardo,Defender,31,121,3,Toluca
Mexico,Luis Chávez,Midfielder,30,45,5,Dynamo Moscow
Mexico,Roberto Alvarado,Forward,27,67,5,Guadalajara
Mexico,Brian Gutiérrez,Midfielder,22,7,2,Guadalajara
South Africa,Ronwen Williams,Goalkeeper,34,62,0,Mamelodi Sundowns
South Africa,Thabang Matuludi,Defender,27,2,0,Polokwane City
South Africa,Khulumani Ndamane,Defender,22,5,0,Mamelodi Sundowns
South Africa,Teboho Mokoena,Midfielder,29,51,9,Mamelodi Sundowns
South Africa,Thalente Mbatha,Midfielder,26,14,3,Orlando Pirates
South Africa,Aubrey Modiba,Defender,30,44,3,Mamelodi Sundowns
South Africa,Oswin Appollis,Forward,24,25,8,Orlando Pirates
South Africa,Tshepang Moremi,Forward,25,9,1,Orlando Pirates
South Africa,Lyle Foster,Forward,25,26,10,Burnley
South Africa,Relebohile Mofokeng,Forward,21,12,0,Orlando Pirates
South Africa,Themba Zwane,Midfielder,36,53,12,Mamelodi Sundowns
South Africa,Thapelo Maseko,Forward,22,9,1,AEL Limassol
South Africa,Sphephelo Sithole,Midfielder,27,27,1,Tondela
South Africa,Mbekezeli Mbokazi,Defender,20,10,1,Chicago Fire FC
South Africa,Iqraam Rayners,Forward,30,13,4,Mamelodi Sundowns
South Africa,Sipho Chaine,Goalkeeper,29,3,0,Orlando Pirates
South Africa,Evidence Makgopa,Forward,26,26,6,Orlando Pirates
South Africa,Samukele Kabini,Defender,22,5,0,Molde
South Africa,Nkosinathi Sibisi,Defender,30,19,0,Orlando Pirates
South Africa,Khuliso Mudau,Defender,31,32,1,Mamelodi Sundowns
South Africa,Ime Okon,Defender,22,7,1,Hannover 96
South Africa,Ricardo Goss,Goalkeeper,32,4,0,Siwelele
South Africa,Jayden Adams,Midfielder,25,4,0,Mamelodi Sundowns
South Africa,Olwethu Makhanya,Defender,22,0,0,Philadelphia Union
South Africa,Kamogelo Sebelebele,Forward,23,2,0,Orlando Pirates
South Africa,Bradley Cross,Defender,25,0,0,Kaizer Chiefs
South Korea,Kim Seung-gyu,Goalkeeper,35,87,0,FC Tokyo
South Korea,Lee Han-beom,Defender,23,8,0,Midtjylland
South Korea,Lee Gi-hyuk,Midfielder,25,3,0,Gangwon FC
South Korea,Kim Min-jae,Defender,29,79,4,Bayern Munich
South Korea,Kim Tae-hyeon,Defender,25,7,0,Kashima Antlers
South Korea,Hwang In-beom,Midfielder,29,73,6,Feyenoord
South Korea,Son Heung-min,Forward,33,144,56,Los Angeles FC
South Korea,Paik Seung-ho,Midfielder,29,27,3,Birmingham City
South Korea,Cho Gue-sung,Forward,28,44,12,Midtjylland
South Korea,Lee Jae-sung,Midfielder,33,105,15,Mainz 05
South Korea,Hwang Hee-chan,Midfielder,30,79,17,Wolverhampton Wanderers
South Korea,Song Bum-keun,Goalkeeper,28,3,0,Jeonbuk Hyundai Motors
South Korea,Lee Tae-seok,Defender,23,15,1,Austria Wien
South Korea,Cho Wi-je,Defender,24,1,0,Jeonbuk Hyundai Motors
South Korea,Kim Moon-hwan,Defender,30,35,0,Daejeon Hana Citizen
South Korea,Park Jin-seob,Defender,30,14,1,Zhejiang
South Korea,Bae Jun-ho,Midfielder,22,13,2,Stoke City
South Korea,Oh Hyeon-gyu,Forward,25,27,6,Beşiktaş
South Korea,Lee Kang-in,Midfielder,25,47,11,Paris Saint-Germain
South Korea,Yang Hyun-jun,Midfielder,24,9,0,Celtic
South Korea,Jo Hyeon-woo,Goalkeeper,34,48,0,Ulsan HD
South Korea,Seol Young-woo,Defender,27,34,0,Red Star Belgrade
South Korea,Jens Castrop,Defender,22,7,0,Borussia Mönchengladbach
South Korea,Kim Jin-gyu,Midfielder,29,22,3,Jeonbuk Hyundai Motors
South Korea,Eom Ji-sung,Midfielder,24,9,2,Swansea City
South Korea,Lee Dong-gyeong,Midfielder,28,18,4,Ulsan HD
Bosnia and Herzegovina,Nikola Vasilj,Goalkeeper,30,26,0,FC St. Pauli
Bosnia and Herzegovina,Nihad Mujakić,Defender,28,12,1,Gaziantep
Bosnia and Herzegovina,Dennis Hadžikadunić,Defender,27,32,0,Sampdoria
Bosnia and Herzegovina,Tarik Muharemović,Defender,23,14,1,Sassuolo
Bosnia and Herzegovina,Sead Kolašinac,Defender,32,65,0,Atalanta
Bosnia and Herzegovina,Benjamin Tahirović,Midfielder,23,28,2,Brøndby
Bosnia and Herzegovina,Amar Dedić,Defender,23,28,1,Benfica
Bosnia and Herzegovina,Armin Gigović,Midfielder,24,20,1,Young Boys
Bosnia and Herzegovina,Samed Baždar,Forward,22,13,1,Jagiellonia Białystok
Bosnia and Herzegovina,Ermedin Demirović,Forward,28,40,4,VfB Stuttgart
Bosnia and Herzegovina,Edin Džeko,Forward,40,148,73,Schalke 04
Bosnia and Herzegovina,Mladen Jurkas,Goalkeeper,18,0,0,Borac Banja Luka
Bosnia and Herzegovina,Ivan Bašić,Midfielder,24,17,0,Astana
Bosnia and Herzegovina,Ivan Šunjić,Midfielder,29,11,0,Pafos
Bosnia and Herzegovina,Amar Memić,Midfielder,25,13,1,Viktoria Plzeň
Bosnia and Herzegovina,Amir Hadžiahmetović,Midfielder,29,36,0,Hull City
Bosnia and Herzegovina,Dženis Burnić,Midfielder,28,20,0,Karlsruher SC
Bosnia and Herzegovina,Nikola Katić,Defender,29,17,2,Schalke 04
Bosnia and Herzegovina,Kerim Alajbegović,Forward,18,10,1,Red Bull Salzburg
Bosnia and Herzegovina,Esmir Bajraktarević,Forward,21,16,1,PSV Eindhoven
Bosnia and Herzegovina,Stjepan Radeljić,Defender,28,5,0,Rijeka
Bosnia and Herzegovina,Martin Zlomislić,Goalkeeper,27,3,0,Rijeka
Bosnia and Herzegovina,Haris Tabaković,Forward,31,10,4,Borussia Mönchengladbach
Bosnia and Herzegovina,Nidal Čelik,Defender,19,2,0,Lens
Bosnia and Herzegovina,Jovo Lukić,Forward,27,3,0,Universitatea Cluj
Bosnia and Herzegovina,Ermin Mahmić,Midfielder,21,2,0,Slovan Liberec
Canada,Dayne St. Clair,Goalkeeper,29,20,0,Inter Miami CF
Canada,Alistair Johnston,Defender,27,58,1,Celtic
Canada,Alfie Jones,Defender,28,2,0,Middlesbrough
Canada,Luc de Fougerolles,Defender,20,13,0,Dender
Canada,Joel Waterman,Defender,30,17,0,Chicago Fire FC
Canada,Mathieu Choinière,Midfielder,27,23,0,Los Angeles FC
Canada,Stephen Eustáquio,Midfielder,29,56,4,Los Angeles FC
Canada,Ismaël Koné,Midfielder,23,40,4,Sassuolo
Canada,Cyle Larin,Forward,31,90,30,Southampton
Canada,Jonathan David,Forward,26,77,39,Juventus
Canada,Liam Millar,Midfielder,26,41,1,Hull City
Canada,Tani Oluwaseyi,Forward,26,24,2,Villarreal
Canada,Derek Cornelius,Defender,28,44,1,Rangers
Canada,Jacob Shaffelburg,Midfielder,26,31,6,Los Angeles FC
Canada,Moïse Bombito,Defender,26,20,0,Nice
Canada,Maxime Crépeau,Goalkeeper,32,32,0,Orlando City SC
Canada,Tajon Buchanan,Forward,27,60,8,Villarreal
Canada,Owen Goodman,Goalkeeper,22,0,0,Barnsley
Canada,Alphonso Davies,Defender,25,58,15,Bayern Munich
Canada,Ali Ahmed,Forward,25,24,1,Norwich City
Canada,Jonathan Osorio,Midfielder,33,90,10,Toronto FC
Canada,Richie Laryea,Defender,31,75,1,Toronto FC
Canada,Niko Sigur,Defender,22,19,2,Hajduk Split
Canada,Promise David,Forward,24,10,3,Union Saint-Gilloise
Canada,Nathan Saliba,Midfielder,22,15,2,Anderlecht
Qatar,Mahmud Abunada,Goalkeeper,26,5,0,Al-Rayyan
Qatar,Pedro Miguel,Defender,35,99,3,Al-Sadd
Qatar,Lucas Mendes,Defender,35,25,1,Al-Wakrah
Qatar,Issa Laye,Defender,28,4,0,Al-Arabi
Qatar,Jassem Gaber,Defender,24,32,1,Al-Rayyan
Qatar,Abdulaziz Hatem,Midfielder,36,117,11,Al-Rayyan
Qatar,Ahmed Alaaeldin,Forward,33,68,9,Al-Rayyan
Qatar,Edmilson Junior,Forward,31,16,0,Al-Duhail
Qatar,Mohammed Muntari,Forward,32,67,16,Al-Gharafa
Qatar,Hassan Al-Haydos,Forward,35,186,41,Al-Sadd
